epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7337,2.79596,4.11119,3.16736,0,0,0,0,3.8162,7.24066,5.10686,0.0708333,0.00324074,0.00324074
2,24.7481,2.96933,3.84052,3.41116,0,0,0,0,nan,nan,nan,0.0401825,0.00592324,0.00592324
3,30.5494,2.85865,3.80012,3.37185,0.0008,0.06667,0.00062,0.00011,4.7889,24.8944,38.3076,0.00887167,0.00794574,0.00794574
4,36.3599,2.73122,3.75145,3.31499,0,0,0,0,4.41877,26.4627,11.2114,0.00703,0.00703,0.00703
5,42.0894,2.65887,3.69077,3.25309,0.00257,0.2037,0.0022,0.00081,3.06714,12.2302,5.24315,0.00604,0.00604,0.00604
6,47.8372,2.62759,3.71492,3.13369,0.00244,0.37407,0.00547,0.00289,2.64279,33.9026,3.71665,0.00505,0.00505,0.00505
7,53.6715,2.57708,3.68019,3.09194,0.35439,0.16667,0.06803,0.02595,2.46466,3.56919,3.08498,0.00406,0.00406,0.00406
8,59.4804,2.53817,3.72085,3.10924,0.0022,0.5963,0.02854,0.00678,2.392,3.54744,3.11258,0.00307,0.00307,0.00307
9,65.3396,2.51866,3.68816,3.12334,0.00228,0.5963,0.04333,0.01095,2.54642,3.39843,3.15693,0.00208,0.00208,0.00208
10,71.0634,2.49693,3.63676,3.07875,0.00207,0.55926,0.0393,0.0096,2.39279,3.41626,3.0564,0.00109,0.00109,0.00109
